158,563001
123,5127009
71,5587004
208,6483008
17,7183006
171,8134005
230,8654005
110,9311003
45,9446007
112,11282001
148,11380006
76,14447001
127,14637005
8,15890002
141,19346006
231,19373007
205,19886006
41,21086008
235,22066006
18,22155002
98,23986001
124,25792000
144,26098002
209,26336006
108,26360005
159,26399002
29,26445008
186,28835009
74,28861008
92,29159009
184,29555009
85,33629003
213,37155002
116,38101003
199,38795005
183,42059000
190,44268007
220,44600005
102,45283008
196,45582004
217,46659004
219,47434006
191,47507006
34,47535005
9,52692001
43,56604005
150,57190000
126,59078009
135,60258001
86,60318001
146,61142002
89,62909004
10,63702009
162,63844009
65,64635004
154,65194006
125,65636009
206,65814009
15,69278003
79,73211009
165,76976005
203,78675000
63,79410001
19,82649003
33,85102008
13,86103006
72,91514001
50,93040009
105,93470007
60,95479005
193,102450007
213,128473001
1,190787008
75,193387007
83,193411004
132,193413001
30,193570009
163,193662007
164,193687000
94,193839007
51,204138006
173,204153003
53,204176000
100,205418005
115,230745008
180,231930000
204,231931001
195,231985001
31,231996009
97,232004004
6,232049001
28,232050001
170,232051002
22,232052009
23,232053004
223,232054005
224,232055006
211,232057003
212,232058008
67,232061009
109,232062002
93,232063007
14,232073009
181,236531005
80,237619009
2,238872007
35,247177004
178,252246005
91,253175003
134,253221000
55,253234004
119,254157005
155,254165008
27,254167000
87,254185007
20,255026000
7,267718000
248,268158009
59,268163008
113,271730003
107,276436007
77,285767006
66,307671001
140,312902008
48,312917007
157,312925009
227,312927001
3,312929003
233,313001006
192,313003009
213,314033007
172,314270008
185,314407005
103,314467007
40,360455002
187,370967009
118,373650004
11,387742006
42,396331005
245,399091004
188,399625000
104,400210000
222,402771003
189,415297005
82,424370005
202,70099003
201,193410003
